pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y,pt3_cam1_X,pt3_cam1_Y,pt4_cam1_X,pt4_cam1_Y,pt5_cam1_X,pt5_cam1_Y,pt6_cam1_X,pt6_cam1_Y,pt7_cam1_X,pt7_cam1_Y
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,554.914453,261.589757
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,555.210000,262.360000
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,555.180000,262.540000
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,555.240000,263.580000
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,555.290000,264.550000
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,555.160000,265.650000
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,555.350000,266.740000
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,559.820000,265.860000
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,560.940000,266.180000
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,562.900000,266.580000
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,563.870000,267.240000
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,565.050000,267.830000
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,565.290000,268.300000
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,565.970000,268.840000
15.776758,128.342799,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,566.840000,269.340000
32.176384,124.242892,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,567.890000,269.930000
43.451126,128.342799,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,568.820000,270.780000
52.675916,129.367775,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,569.890000,271.890000
60.875729,131.417728,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,570.330000,272.940000
71.125495,133.467682,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,570.820000,273.840000
77.275354,134.492658,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,571.130000,274.800000
82.400238,135.517635,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,571.070000,275.810000
84.450191,137.567588,NaN,NaN,5.526992,91.443641,NaN,NaN,NaN,NaN,NaN,NaN,570.650000,275.670000
